REPORTE GESTION DE LOCALIZACION DE BOLSINES IDA 05/12/2017 10:58

EVENTO: BOLSINES GENERADOS EN ACARA - Destino: REGISTRO AUTOMOTOR

desde 04/12/2017   hasta 04/12/2017

CODIGO DESTINO;TIPO DESTINO;DESCRIPCION DESTINO;USUARIO EVENTO;FECHA/HORA EVENTO;ID T&T;NRO.PRECINTO;FACTURA(INTERNO ACARA);PESO ACARA;PESO MAILROOM;ULTIMO ESTADO EN VEDIA;NRO.GUIA
1001;R;ADROGUE 01;0KM;04/12/2017 14:53:08;PP030427115AR;1561592;C201700237303;0,325;0,360;EXPEDIDO;18979
1003;R;ARRECIFES 01 A MAVI;0KM;04/12/2017 14:52:22;PP030427013AR;1561591;C201700239099;0,325;0,280;EXPEDIDO;18979
1004;R;AVELLANEDA 01;0KM;04/12/2017 14:53:41;PP030427177AR;1561590;C201700240094/40228/40229;1,025;0,975;EXPEDIDO;18979
1005;R;AVELLANEDA 02;0KM;04/12/2017 14:54:46;PP030427336AR;1675294;C201700239248;0,425;0,385;EXPEDIDO;18979
1007;R;AZUL 01 A MAVI             (B);0KM;04/12/2017 14:55:23;PP030427438AR;1561589;C201700239249;0,335;0,245;EXPEDIDO;18979
1008;R;BAHIA BLANCA 01 MAVI       (B);0KM;04/12/2017 14:53:51;PP030427217AR;1561588;C201700239250;0,330;0,265;EXPEDIDO;18979
1009;R;BAHIA BLANCA 02            (B);0KM;04/12/2017 14:54:39;PP030427319AR;1675295;C201700239251/240230;1,115;1,035;EXPEDIDO;18979
1010;R;BALCARCE 01 A              (B);0KM;04/12/2017 14:54:10;PP030427251AR;1561587;C201700237304240231;0,570;0,515;EXPEDIDO;18979
1011;R;BARADERO 01 A              (B);0KM;04/12/2017 07:19:59;PP030412994AR;512183;c201700245691;1,485;1,485;EXPEDIDO;18969
1011;R;BARADERO 01 A              (B);VERDES;04/12/2017 13:27:19;PP030418997AR;986205;C201700245501;3,195;3,830;EXPEDIDO;18973
1011;R;BARADERO 01 A              (B);0KM;04/12/2017 14:10:01;PP030423572AR;512057;C201700245861;3,015;3,035;EXPEDIDO;18976
1011;R;BARADERO 01 A              (B);0KM;04/12/2017 14:52:32;PP030427035AR;1561586;C201700239100/41075;0,685;0,635;EXPEDIDO;18979
1012;R;BOLIVAR 01 A MAVI;0KM;04/12/2017 14:55:50;PP030427490AR;354413;C201700238206/9252/40232/40233;2,025;1,890;EXPEDIDO;18979
